participant,response,valid_categories,category,irt
71,hamster,"Pets,Rodent Like",Rodent Like,3
71,sheep,Farm Animals,Farm Animals,2
71,horse,"Beasts of Burden,Farm Animals",Farm Animals,3
71,rabbit,"North American,Pets,Rodent Like",North American,6
71,squirrel,"North American,Rodent Like",North American,10
71,muskrat,"North American,Rodent Like",North American,5
71,loon,"Birds,North American",Birds,2
71,eagle,"Birds,North American",Birds,2
71,hawk,"Birds,North American",Birds,2
71,raven,Birds,Birds,2
71,bluebird,Birds,Birds,5
71,raptor,Birds,Birds,5
71,fox,"Arctic/Far North Animals,Canines,North American",North American,4
71,cow,Farm Animals,Farm Animals,6
71,fisher,North American,North American,11
71,wolverine,"North American,Rodent Like",North American,3
71,badger,"North American,Rodent Like",North American,6
71,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,3
71,bronco,"Farm Animals,North American",North American,5
71,hare,"North American,Pets",Pets,5
71,turtle,"Fish,Pets,Reptiles/Amphibians",Pets,4
71,crab,Fish,Fish,6
71,fish,"Fish,Pets",Fish,3
71,bluegill,Fish,Fish,7
71,mantaray,Fish,Fish,3
71,caribou,"Arctic/Far North Animals,North American",Arctic/Far North Animals,7
71,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,8
198,dog,"Canines,Pets",Pets,3
198,cat,"Felines,Pets",Pets,2
198,mouse,"Pets,Rodent Like",Pets,4
198,tiger,"Non-Jungle Animals,Felines",Felines,7
198,lion,"Non-Jungle Animals,Felines",Felines,3
198,bear,North American,North American,1
198,cheetah,"Non-Jungle Animals,Felines",Felines,6
198,skunk,"North American,Rodent Like",North American,12
198,raccoon,"North American,Rodent Like",North American,2
198,hamster,"Pets,Rodent Like",Pets,12
198,elephant,Non-Jungle Animals,Non-Jungle Animals,3
198,hippopotamus,Non-Jungle Animals,Non-Jungle Animals,2
198,alligator,"Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,6
198,crocodile,"Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,4
198,boaconstrictor,Reptiles/Amphibians,Reptiles/Amphibians,8
198,viper,Reptiles/Amphibians,Reptiles/Amphibians,3
198,rattlesnake,Reptiles/Amphibians,Reptiles/Amphibians,5
198,opossum,Australian Animals,Australian Animals,21
198,fox,"Arctic/Far North Animals,Canines,North American",North American,8
198,deer,North American,North American,2
198,bobcat,"Felines,North American",North American,9
198,bird,"Birds,Pets",Birds,12
198,beaver,"North American,Rodent Like",Rodent Like,14
198,groundhog,"North American,Rodent Like,Rodent Like",Rodent Like,5
198,hyena,"Non-Jungle Animals,Canines",Non-Jungle Animals,40
199,dog,"Canines,Pets",Pets,3
199,cat,"Felines,Pets",Pets,2
199,bear,North American,North American,2
199,monkey,"Jungle Animals,Primates",Jungle Animals,1
199,pig,Farm Animals,Farm Animals,2
199,cow,Farm Animals,Farm Animals,1
199,horse,"Beasts of Burden,Farm Animals",Farm Animals,2
199,turkey,"Birds,Farm Animals,North American",Farm Animals,2
199,giraffe,Non-Jungle Animals,Non-Jungle Animals,5
199,elephant,Non-Jungle Animals,Non-Jungle Animals,4
199,hippopotamus,Non-Jungle Animals,Non-Jungle Animals,2
199,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,3
199,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,1
199,penguin,"Arctic/Far North Animals,Birds",Birds,3
199,mouse,"Pets,Rodent Like",Pets,6
199,rat,"Pets,Rodent Like",Pets,2
199,hamster,"Pets,Rodent Like",Pets,3
199,fish,"Fish,Pets",Pets,2
199,chicken,"Birds,Farm Animals",Farm Animals,14
199,rabbit,"North American,Pets,Rodent Like",Pets,6
199,goose,"Birds,Farm Animals",Farm Animals,9
199,turtle,"Fish,Pets,Reptiles/Amphibians",Farm Animals,4
199,bird,"Birds,Pets",Pets,2
199,frog,"Pets,Reptiles/Amphibians",Pets,1
199,wolf,"Arctic/Far North Animals,Canines,North American",North American,7
199,raccoon,"North American,Rodent Like",North American,3
199,possum,"Australian Animals,North American",North American,2
199,squirrel,"North American,Rodent Like",North American,10
199,chipmunk,"North American,Rodent Like",North American,3
199,ferret,"Farm Animals,Pets,Rodent Like",Pets,22
199,duck,"Birds,Farm Animals",Birds,4
199,swan,Birds,Birds,2
199,shark,Fish,Fish,4
199,dolphin,Fish,Fish,3
199,whale,Fish,Fish,1
199,mountainlion,"Felines,North American",North American,39
199,gerbil,"Pets,Rodent Like",Pets,39
199,gorilla,"Jungle Animals,Primates",Jungle Animals,10
199,chimpanzee,"Jungle Animals,Primates",Jungle Animals,6
199,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Jungle Animals,29
285,deer,North American,North American,4
285,squirrel,"North American,Rodent Like",North American,5
285,rabbit,"North American,Pets,Rodent Like",North American,2
285,elk,North American,North American,3
285,moose,North American,North American,2
285,muledeer,North American,North American,4
285,whitetaileddeer,North American,North American,9
285,blacktaileddeer,North American,North American,5
285,grizzly,North American,North American,7
285,blackbear,North American,North American,2
285,brownbear,North American,North American,3
285,kodiakbear,North American,North American,5
285,mountaingoat,North American,North American,6
285,billygoat,Farm Animals,Farm Animals,3
285,wolf,"Arctic/Far North Animals,Canines,North American",North American,4
285,fox,"Arctic/Far North Animals,Canines,North American",North American,3
285,coyote,"Canines,North American",North American,3
285,dog,"Canines,Pets",Pets,3
285,cat,"Felines,Pets",Pets,2
285,rat,"Pets,Rodent Like",Pets,2
285,mouse,"Pets,Rodent Like",Pets,3
285,bird,"Birds,Pets",Pets,2
285,cardinal,Birds,Birds,4
285,bluejay,Birds,Birds,2
285,robin,Birds,Birds,3
285,blackbird,Birds,Birds,2
285,crow,Birds,Birds,2
285,turkey,"Birds,Farm Animals,North American",Birds,4
285,vulture,Birds,Birds,18
285,eagle,"Birds,North American",Birds,3
285,hawk,"Birds,North American",Birds,3
285,mountainlion,"Felines,North American",North American,32
285,elephant,Non-Jungle Animals,Non-Jungle Animals,3
285,giraffe,Non-Jungle Animals,Non-Jungle Animals,9
285,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,4
285,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,2
285,zebra,Non-Jungle Animals,Non-Jungle Animals,5
285,antelope,Non-Jungle Animals,Non-Jungle Animals,6
286,dog,"Canines,Pets",Pets,2
286,cat,"Felines,Pets",Pets,1
286,horse,"Beasts of Burden,Farm Animals",Farm Animals,1
286,cow,Farm Animals,Farm Animals,3
286,pig,Farm Animals,Farm Animals,1
286,dolphin,Fish,Fish,6
286,mouse,"Pets,Rodent Like",Pets,5
286,gerbil,"Pets,Rodent Like",Pets,3
286,chicken,"Birds,Farm Animals",Farm Animals,5
286,goose,"Birds,Farm Animals",Farm Animals,2
286,potbelliedpig,"Birds,Farm Animals",Farm Animals,13
286,hamster,"Pets,Rodent Like",Rodent Like,17
286,ferret,"Farm Animals,Pets,Rodent Like",Rodent Like,14
286,raccoon,"North American,Rodent Like",Rodent Like,7
286,skunk,"North American,Rodent Like",North American,5
286,squirrel,"North American,Rodent Like",North American,5
286,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,24
286,grizzly,North American,North American,2
286,penguin,"Arctic/Far North Animals,Birds",Arctic/Far North Animals,10
286,seal,Arctic/Far North Animals,Arctic/Far North Animals,2
286,monkey,"Jungle Animals,Primates",Jungle Animals,5
286,giraffe,Non-Jungle Animals,Non-Jungle Animals,3
286,buffalo,"Non-Jungle Animals,North American",Non-Jungle Animals,3
286,bison,North American,North American,1
286,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,7
286,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,3
286,cheetah,"Non-Jungle Animals,Felines",Non-Jungle Animals,6
286,gazelle,Non-Jungle Animals,Non-Jungle Animals,10
286,antelope,Non-Jungle Animals,Non-Jungle Animals,3
286,koala,Australian Animals,Australian Animals,8
286,sloth,Jungle Animals,Jungle Animals,6
287,dog,"Canines,Pets",Pets,5
287,cat,"Felines,Pets",Pets,2
287,bird,"Birds,Pets",Pets,1
287,squirrel,"North American,Rodent Like",Rodent Like,3
287,chipmunk,"North American,Rodent Like",Rodent Like,3
287,elephant,Non-Jungle Animals,Non-Jungle Animals,9
287,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,3
287,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,3
287,bear,North American,North American,1
287,mouse,"Pets,Rodent Like",Pets,1
287,rat,"Pets,Rodent Like",Pets,1
287,sheep,Farm Animals,Farm Animals,2
287,lamb,Farm Animals,Farm Animals,1
287,pig,Farm Animals,Farm Animals,1
287,donkey,"Beasts of Burden,Farm Animals",Farm Animals,3
287,goose,"Birds,Farm Animals",Farm Animals,2
287,rooster,"Birds,Farm Animals",Farm Animals,2
287,monkey,"Jungle Animals,Primates",Primates,5
287,gorilla,"Jungle Animals,Primates",Primates,2
287,giraffe,Non-Jungle Animals,Non-Jungle Animals,3
287,penguin,"Arctic/Far North Animals,Birds",Arctic/Far North Animals,2
287,dolphin,Fish,Fish,2
287,whale,Fish,Fish,1
287,fish,"Fish,Pets",Fish,1
287,crab,Fish,Fish,1
287,turtle,"Fish,Pets,Reptiles/Amphibians",Fish,2
287,seahorse,Fish,Fish,6
287,fox,"Arctic/Far North Animals,Canines,North American",North American,14
287,rabbit,"North American,Pets,Rodent Like",Pets,6
287,bunny,"North American,Pets",Pets,4
287,gerbil,"Pets,Rodent Like",Pets,8
287,guineapig,"Pets,Rodent Like",Pets,5
287,hamster,"Pets,Rodent Like",Pets,4
287,kangaroo,Australian Animals,Australian Animals,17
287,koala,Australian Animals,Australian Animals,5
287,crocodile,"Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,10
287,alligator,"Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,2
287,ant,Insects,Insects,3
287,bee,Insects,Insects,2
287,wasp,Insects,Insects,2
287,prayingmantis,Insects,Insects,5
287,beetle,Insects,Insects,4
287,cockroach,Rodent Like,Insects,2
287,fly,Insects,Insects,1
287,stingray,Fish,Fish,11
287,jellyfish,Fish,Fish,3
287,tortoise,"Pets,Reptiles/Amphibians",Reptiles/Amphibians,15
288,cheetah,"Non-Jungle Animals,Felines",Felines,6
288,lion,"Non-Jungle Animals,Felines",Felines,2
288,deer,North American,North American,1
288,parrot,"Birds,Pets",Pets,4
288,guineapig,"Pets,Rodent Like",Pets,4
288,hamster,"Pets,Rodent Like",Pets,2
288,squirrel,"North American,Rodent Like",Rodent Like,2
288,chipmunk,"North American,Rodent Like",Rodent Like,4
288,dove,Birds,Birds,4
288,alligator,"Jungle Animals,Reptiles/Amphibians",Jungle Animals,3
288,prayingmantis,Insects,Insects,4
288,toucan,Birds,Birds,3
288,owl,Birds,Birds,2
288,pigeon,Birds,Birds,5
288,giraffe,Non-Jungle Animals,Non-Jungle Animals,6
288,hawk,"Birds,North American",North American,9
288,tiger,"Non-Jungle Animals,Felines",Jungle Animals,11
288,elephant,Non-Jungle Animals,Non-Jungle Animals,2
288,rat,"Pets,Rodent Like",Pets,4
288,mouse,"Pets,Rodent Like",Pets,3
288,bear,North American,North American,6
288,moose,North American,North American,1
288,beaver,"North American,Rodent Like",North American,4
288,dog,"Canines,Pets",Pets,3
288,cat,"Felines,Pets",Pets,1
288,iguana,"Pets,Reptiles/Amphibians",Pets,6
288,ferret,"Farm Animals,Pets,Rodent Like",Pets,3
288,pig,Farm Animals,Farm Animals,4
288,chicken,"Birds,Farm Animals",Farm Animals,2
288,rooster,"Birds,Farm Animals",Farm Animals,4
288,cow,Farm Animals,Farm Animals,1
288,llama,"Beasts of Burden,Farm Animals",Farm Animals,2
288,rabbit,"North American,Pets,Rodent Like",Pets,9
288,gazelle,Non-Jungle Animals,Non-Jungle Animals,10
288,antelope,Non-Jungle Animals,Non-Jungle Animals,2
288,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Reptiles/Amphibians,9
288,salamander,Reptiles/Amphibians,Reptiles/Amphibians,4
288,newt,Reptiles/Amphibians,Reptiles/Amphibians,1
288,ant,Insects,Insects,1
288,fly,Insects,Insects,3
288,gnat,Reptiles/Amphibians,Insects,4
288,mosquito,Insects,Insects,2
288,bee,Insects,Insects,3
288,ladybug,Insects,Insects,3
288,aardvark,Non-Jungle Animals,Non-Jungle Animals,7
288,anteater,"Non-Jungle Animals,Rodent Like",Non-Jungle Animals,3
289,cat,"Felines,Pets",Pets,2
289,dog,"Canines,Pets",Pets,3
289,mouse,"Pets,Rodent Like",Pets,2
289,bird,"Birds,Pets",Pets,2
289,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Pets,2
289,hamster,"Pets,Rodent Like",Pets,8
289,kitten,"Farm Animals,Pets",Pets,5
289,cow,Farm Animals,Farm Animals,2
289,pig,Farm Animals,Farm Animals,1
289,sheep,Farm Animals,Farm Animals,2
289,horse,"Beasts of Burden,Farm Animals",Farm Animals,2
289,chicken,"Birds,Farm Animals",Farm Animals,2
289,jaguar,"Jungle Animals,Felines",Felines,5
289,cheetah,"Non-Jungle Animals,Felines",Felines,2
289,lion,"Non-Jungle Animals,Felines",Felines,3
289,lioness,"Non-Jungle Animals,Felines",Felines,2
289,cub,North American,North American,2
289,bear,North American,North American,3
289,zebra,Non-Jungle Animals,Non-Jungle Animals,6
289,elephant,Non-Jungle Animals,Non-Jungle Animals,3
289,hippopotamus,Non-Jungle Animals,Non-Jungle Animals,2
289,giraffe,Non-Jungle Animals,Non-Jungle Animals,7
289,fox,"Arctic/Far North Animals,Canines,North American",Non-Jungle Animals,4
289,ostrich,"Non-Jungle Animals,Birds",Non-Jungle Animals,7
289,koala,Australian Animals,Australian Animals,5
289,penguin,"Arctic/Far North Animals,Birds",Arctic/Far North Animals,4
289,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,5
289,rooster,"Birds,Farm Animals",Farm Animals,6
289,monkey,"Jungle Animals,Primates",Jungle Animals,6
289,panda,Jungle Animals,Jungle Animals,5
289,buffalo,"Non-Jungle Animals,North American",North American,7
289,bison,North American,North American,8
289,turkey,"Birds,Farm Animals,North American",North American,6
289,cougar,"Felines,North American",North American,14
289,bull,"Farm Animals,Felines",Farm Animals,10
289,tiger,"Non-Jungle Animals,Felines",Felines,6
289,wombat,Australian Animals,Australian Animals,18
290,mongoose,"Non-Jungle Animals,Rodent Like",Non-Jungle Animals,4
290,lemur,"Jungle Animals,Primates",Jungle Animals,1
290,koala,Australian Animals,Australian Animals,2
290,dingo,Australian Animals,Australian Animals,1
290,dog,"Canines,Pets",Pets,3
290,cat,"Felines,Pets",Pets,1
290,bear,North American,North American,0
290,mouse,"Pets,Rodent Like",Pets,2
290,elephant,Non-Jungle Animals,Non-Jungle Animals,2
290,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,4
290,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,6
290,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,7
290,zebra,Non-Jungle Animals,Non-Jungle Animals,5
290,jellyfish,Fish,Fish,4
290,whale,Fish,Fish,3
290,meerkat,Non-Jungle Animals,Non-Jungle Animals,7
290,hog,Farm Animals,Farm Animals,2
290,warthog,Non-Jungle Animals,Non-Jungle Animals,3
290,chicken,"Birds,Farm Animals",Farm Animals,8
290,rooster,"Birds,Farm Animals",Farm Animals,5
290,cow,Farm Animals,Farm Animals,8
290,bull,"Farm Animals,Felines",Farm Animals,1
290,cattle,"Beasts of Burden,Farm Animals",Farm Animals,2
290,horse,"Beasts of Burden,Farm Animals",Farm Animals,9
290,seahorse,Fish,Fish,4
290,penguin,"Arctic/Far North Animals,Birds",Arctic/Far North Animals,11
290,shark,Fish,Fish,5
290,narwhal,"Arctic/Far North Animals,Fish",Fish,2
290,duck,"Birds,Farm Animals",Birds,8
290,goose,"Birds,Farm Animals",Birds,7
290,swan,Birds,Birds,2
290,ocelot,"Felines,Jungle Animals",Jungle Animals,11
290,rabbit,"North American,Pets,Rodent Like",Rodent Like,10
290,hamster,"Pets,Rodent Like",Rodent Like,24
290,rat,"Pets,Rodent Like",Rodent Like,12
291,horse,"Beasts of Burden,Farm Animals",Farm Animals,2
291,dog,"Canines,Pets",Pets,1
291,cat,"Felines,Pets",Pets,1
291,elephant,Non-Jungle Animals,Non-Jungle Animals,2
291,dolphin,Fish,Fish,2
291,squirrel,"North American,Rodent Like",Rodent Like,7
291,bird,"Birds,Pets",Birds,2
291,chipmunk,"North American,Rodent Like",Rodent Like,7
291,mouse,"Pets,Rodent Like",Rodent Like,1
291,rat,"Pets,Rodent Like",Rodent Like,2
291,cheetah,"Non-Jungle Animals,Felines",Non-Jungle Animals,5
291,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,1
291,giraffe,Non-Jungle Animals,Non-Jungle Animals,2
291,hippopotamus,Non-Jungle Animals,Non-Jungle Animals,5
291,rhino,Non-Jungle Animals,Non-Jungle Animals,4
291,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,6
291,walrus,Arctic/Far North Animals,Arctic/Far North Animals,5
291,elk,North American,North American,4
291,deer,North American,North American,2
291,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Pets,5
291,otter,Rodent Like,Rodent Like,3
291,fish,"Fish,Pets",Pets,2
291,wolf,"Arctic/Far North Animals,Canines,North American",Arctic/Far North Animals,6
291,coyote,"Canines,North American",North American,2
291,moose,North American,North American,2
291,bear,North American,North American,1
291,crow,Birds,Birds,4
291,pony,"Beasts of Burden,Farm Animals,Pets",Pets,10
291,chinchilla,Rodent Like,Rodent Like,9
291,worm,Insects,Insects,9
291,beetle,Insects,Insects,2
291,cockroach,Insects,Insects,2
291,starfish,Fish,Fish,10
291,shark,Fish,Fish,1
291,whale,Fish,Fish,3
291,gorilla,"Jungle Animals,Primates",Primates,6
291,monkey,"Jungle Animals,Primates",Primates,3
291,penguin,"Arctic/Far North Animals,Birds",Birds,6
291,coral,Fish,Fish,12
291,eagle,"Birds,North American",Birds,6
291,lizard,"Pets,Reptiles/Amphibians",Pets,7
291,spider,Insects,Insects,6
291,bunny,"North American,Pets",Pets,20
292,dog,"Canines,Pets",Pets,2
292,cat,"Felines,Pets",Pets,1
292,lion,"Non-Jungle Animals,Felines",Felines,4
292,tiger,"Non-Jungle Animals,Felines",Felines,3
292,bear,North American,North American,1
292,monkey,"Jungle Animals,Primates",Jungle Animals,4
292,panda,Jungle Animals,Jungle Animals,3
292,cheetah,"Non-Jungle Animals,Felines",Felines,3
292,jaguar,"Jungle Animals,Felines",Felines,2
292,horse,"Beasts of Burden,Farm Animals",Farm Animals,2
292,coyote,"Canines,North American",North American,3
292,bird,"Birds,Pets",Birds,8
292,koala,Australian Animals,Australian Animals,3
292,flamingo,"Non-Jungle Animals,Birds",Birds,7
292,giraffe,Non-Jungle Animals,Non-Jungle Animals,9
292,elephant,Non-Jungle Animals,Non-Jungle Animals,3
292,emu,"Australian Animals,Birds",Birds,6
292,rhino,Non-Jungle Animals,Non-Jungle Animals,29
292,ostrich,"Non-Jungle Animals,Birds",Non-Jungle Animals,26
292,yak,"Arctic/Far North Animals,Beasts of Burden",Arctic/Far North Animals,6
292,goat,"Farm Animals,North American",Farm Animals,2
292,lamb,Farm Animals,Farm Animals,4
292,sheep,Farm Animals,Farm Animals,1
292,cow,Farm Animals,Farm Animals,2
292,pig,Farm Animals,Farm Animals,4
292,llama,"Beasts of Burden,Farm Animals",Farm Animals,4
292,rabbit,"North American,Pets,Rodent Like",North American,16
292,skunk,"North American,Rodent Like",North American,4
292,anteater,"Non-Jungle Animals,Rodent Like",Non-Jungle Animals,4
292,alligator,"Jungle Animals,Reptiles/Amphibians",Jungle Animals,6
292,crocodile,"Jungle Animals,Reptiles/Amphibians",Jungle Animals,6
293,dog,"Canines,Pets",Pets,3
293,cat,"Felines,Pets",Pets,1
293,moose,North American,North American,2
293,buffalo,"Non-Jungle Animals,North American",North American,2
293,giraffe,Non-Jungle Animals,Non-Jungle Animals,3
293,monkey,"Jungle Animals,Primates",Jungle Animals,6
293,lion,"Non-Jungle Animals,Felines",Felines,2
293,tiger,"Non-Jungle Animals,Felines",Felines,1
293,bear,North American,North American,3
293,labradorretriever,"Canines,Pets",Pets,9
293,puggle,"Canines,Pets",Pets,6
293,fish,"Fish,Pets",Pets,17
293,salmon,Fish,Fish,5
293,whale,Fish,Fish,2
293,beluga,Fish,Fish,6
293,killerwhale,Fish,Fish,4
293,shark,Fish,Fish,2
293,turtle,"Fish,Pets,Reptiles/Amphibians",Fish,3
293,coral,Fish,Fish,7
293,jellyfish,Fish,Fish,6
293,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Pets,8
293,cheetah,"Non-Jungle Animals,Felines",Felines,16
293,jaguar,"Jungle Animals,Felines",Felines,3
293,spider,Insects,Insects,5
293,human,Primates,Primates,8
293,guineapig,"Pets,Rodent Like",Pets,29
293,hamster,"Pets,Rodent Like",Pets,3
293,betta,Fish,Fish,15
294,giraffe,Non-Jungle Animals,Non-Jungle Animals,4
294,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,2
294,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,2
294,panther,"Jungle Animals,Felines,North American",Felines,2
294,bobcat,"Felines,North American",Felines,9
294,lynx,"Felines,North American",Felines,3
294,jaguar,"Jungle Animals,Felines",Felines,10
294,bear,North American,North American,5
294,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,4
294,moose,North American,North American,4
294,deer,North American,North American,3
294,elk,North American,North American,2
294,ram,North American,North American,5
294,eagle,"Birds,North American",North American,4
294,hawk,"Birds,North American",Birds,7
294,cardinal,Birds,Birds,5
294,panda,Jungle Animals,Jungle Animals,3
294,squirrel,"North American,Rodent Like",North American,6
294,chipmunk,"North American,Rodent Like",North American,3
294,owl,Birds,Birds,3
294,fish,"Fish,Pets",Fish,2
294,otter,Rodent Like,Rodent Like,8
294,seal,Arctic/Far North Animals,Arctic/Far North Animals,2
294,whale,Fish,Fish,2
294,dolphin,Fish,Fish,6
294,koala,Australian Animals,Australian Animals,3
294,kangaroo,Australian Animals,Australian Animals,3
294,fox,"Arctic/Far North Animals,Canines,North American",North American,10
294,raccoon,"North American,Rodent Like",North American,4
294,bat,Rodent Like,Rodent Like,9
294,chimpanzee,"Jungle Animals,Primates",Primates,7
294,ape,"Jungle Animals,Primates",Primates,2
294,monkey,"Jungle Animals,Primates",Primates,5
294,spidermonkey,Primates,Primates,4
294,baboon,"Jungle Animals,Primates",Primates,5
294,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Reptiles/Amphibians,6
294,crocodile,"Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,8
294,alligator,"Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,3
294,komododragon,"Non-Jungle Animals,Reptiles/Amphibians",Reptiles/Amphibians,14
295,bear,North American,North American,3
295,giraffe,Non-Jungle Animals,Non-Jungle Animals,2
295,horse,"Beasts of Burden,Farm Animals",Farm Animals,2
295,kangaroo,Australian Animals,Australian Animals,4
295,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Farm Animals,2
295,lion,"Non-Jungle Animals,Felines",Felines,1
295,tiger,"Non-Jungle Animals,Felines",Felines,2
295,parakeet,"Birds,Pets",Birds,2
295,penguin,"Arctic/Far North Animals,Birds",Birds,2
295,parrot,"Birds,Pets",Birds,6
295,cat,"Felines,Pets",Pets,3
295,dog,"Canines,Pets",Pets,2
295,chinchilla,Rodent Like,Rodent Like,4
295,guineapig,"Pets,Rodent Like",Rodent Like,2
295,rabbit,"North American,Pets,Rodent Like",Rodent Like,2
295,squirrel,"North American,Rodent Like",Rodent Like,6
295,mouse,"Pets,Rodent Like",Rodent Like,2
295,rat,"Pets,Rodent Like",Rodent Like,1
295,hamster,"Pets,Rodent Like",Rodent Like,7
295,hyena,"Non-Jungle Animals,Canines",Non-Jungle Animals,6
295,deer,North American,North American,7
295,bat,Rodent Like,Rodent Like,4
295,eagle,"Birds,North American",North American,5
295,elephant,Non-Jungle Animals,Non-Jungle Animals,12
295,camel,"Non-Jungle Animals,Beasts of Burden",Non-Jungle Animals,2
295,emu,"Australian Animals,Birds",Birds,2
295,sloth,Jungle Animals,Jungle Animals,3
295,rhinoceros,Non-Jungle Animals,Non-Jungle Animals,7
295,monkey,"Jungle Animals,Primates",Jungle Animals,9
295,gorilla,"Jungle Animals,Primates",Primates,3
295,chimpanzee,"Jungle Animals,Primates",Primates,5
295,baboon,"Jungle Animals,Primates",Primates,3
295,cheetah,"Non-Jungle Animals,Felines",Non-Jungle Animals,6
295,zebra,Non-Jungle Animals,Non-Jungle Animals,2
295,gazelle,Non-Jungle Animals,Non-Jungle Animals,4
295,crocodile,"Jungle Animals,Reptiles/Amphibians",Jungle Animals,5
295,gecko,"Non-Jungle Animals,Reptiles/Amphibians",Non-Jungle Animals,10
295,wildebeest,Non-Jungle Animals,Non-Jungle Animals,13
295,bison,North American,North American,3
295,antelope,Non-Jungle Animals,Non-Jungle Animals,7
295,polarbear,Arctic/Far North Animals,Arctic/Far North Animals,7
296,tiger,"Non-Jungle Animals,Felines",Felines,2
296,dog,"Canines,Pets",Pets,2
296,cat,"Felines,Pets",Pets,2
296,kitten,"Farm Animals,Pets",Pets,1
296,puppy,"Canines,Pets",Pets,2
296,jaguar,"Jungle Animals,Felines",Felines,3
296,mountainlion,"Felines,North American",Felines,5
